"Cleaned_value ( ""Value"" column of the OLIS observation is cleaned)",counts,Flag,name,Overall counts: 687707,% missingness over all in all columns) :  79%
cancelled sample specimen received leaking specimen will not be tested submit another specimen if testing still required test performed at public health laboratory toronto 661 university avenue suite 1701 toronto ontario m5g 1m,1,indeterminate,,,
invalid test results sent to provincial health lab for testing,1,indeterminate,,,
negative expiry a negative rapid rsv test should be confirmed by pcr if clinically indicated see vicultnps on the lab test information guide ltig,2,indeterminate,,,
no result lost in transport suggest recollection if clinically indicated,1,indeterminate,,,
no sample received at phl,1,indeterminate,,,
non reactive by eia,3,indeterminate,,,
not isolated,1,indeterminate,,,
not received in microbiology,1,indeterminate,,,
not tested reason incorrect test viral detection other ordered np swab in viral transport media received for respiratory viruses see for results results added to call list by shirley kuzub date at,1,indeterminate,,,
not tested test not performed in microbiology laboratory reason reagent shortage added to call list by anneka krasl date at note specimen referred out to the reference lab for multiplex naat respiratory virus detection,1,indeterminate,,,
phl sample test result viral studies cancelled note cancelled serology is not available for rsv testing site timmins phl 67 wilson ave timmins on p4n 2s5 phone,1,indeterminate,,,
phoned to icp csm name charlto01s phoned to patient location name sadamso01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
phoned to icp csm name charlton01s phoned to patient location name kgillingham01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
phoned to icp csm name email phoned to patient location name emaxwel01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
phoned to icp csm name email phoned to patient location name mcherubino01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
phoned to icp csm name email sent 9 1 20 at phoned to patient location name scurtis01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
phoned to icp csm name email sent at phoned to patient location name bsmith01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
phoned to icp csm name email sent at phoned to patient location name kthibideau01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
phoned to icp csm name email sent at phoned to patient location name lfreteau01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
phoned to icp csm name email sent at phoned to patient location name mbeatty01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
phoned to icp csm name email sent at phoned to patient location name nwatson01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,2,unknown,,,
phoned to icp csm name email sent phoned to patient location name bhunt01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
phoned to icp csm name email sent phoned to patient location name disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
phoned to icp csm name email sent phoned to patient location name mtortor01s disclaimer a negative result does not exclude the specified virus results must be interpreted in the context of clinical history and epidemiological information repeat testing is recommended for co infection with two or more viruses,1,unknown,,,
